id,title,assignee,country,date,abstract,cpc_codes,url
US11769182B2,"Purchase information utilization system, purchase information utilization method, and program",Kuninobu NAKAOKA,US,2022-01-10,"
     A purchase information utilization system according to the present invention includes a system provided with a reception unit that receives purchase information including identification information capable of identifying a product and support information which supports that the product is purchased from a terminal device of a consumer, a purchase information storage unit that stores the purchase information received by the reception unit, and a determination unit that determines whether or",G; G06Q; G06Q30/0201; G06Q30/00; G06; G06Q30/02; G06Q30/0282,https://patents.google.com/patent/US11769182B2/en
US20240046304A1,Customizable data management system,Michael Vock,US,2023-08-29,"
     The invention relates to methods, systems, and computer-readable media related to a system having a plurality of users, designed to display a user-customized subset of item and/or provider information to the user. 
   
   ",G; G06Q; G06Q30/0242; G06Q10/40; G06Q30/00; G06; G06Q30/0241; G06Q30/0251; G06Q30/02,https://patents.google.com/patent/US20240046304A1/en
US20240070716A1,Systems and methods for conditional advertising budget calibration and allocation,Andrew Palosi,US,2022-02-04,"
     A system for conditional advertising budget calibration and allocation is disclosed, including at least one user computing device in operable connection with a network. An application server is in operable communication with the user network to host an application program for providing a system for advertising budget calibration and allocation. The application program includes a user interface module for providing access to the application program through the user computing device. A machi",G; G06Q30/0249; G06Q; G06Q30/00; G06; G06Q30/0241; G06Q30/02,https://patents.google.com/patent/US20240070716A1/en
US11842364B2,"Method for providing incentive, server, and non-transitory computer-readable recording medium",Yuichi Ono,US,2022-03-31,"
     A system and a method allow for the provision of an incentive between different applications. A server stores information including, in association, a user identifier, a first identifier, and a second identifier received from a client terminal, and when receiving an incentive request, causes an application server to provide an incentive to the user pertaining to the first identifier corresponding to the second identifier based on the information. 
   
   ",G; G06Q; G06Q30/0207; G06Q30/00; G06; G06Q30/02,https://patents.google.com/patent/US11842364B2/en
US20240054531A1,"Product providing system, product providing method, and product providing program",Daisuke Tagawa,US,2021-12-20,"
     A product provision system for providing a product that matches a sensibility desired by a user, includes: reception means for receiving sensibility information, the sensibility information representing a sensibility desired by a user; prediction means for predicting a property associated with the received sensibility information, the property being a property derived from a product's material; extraction means for extracting a product based on the predicted property; and output means for ",G; G06Q30/01; G06Q30/015; G06Q; G06Q30/0269; G06Q30/00; G06; G06Q30/0241; G06Q30/0251; G06Q30/02,https://patents.google.com/patent/US20240054531A1/en
US20240037581A1,"Service optimization system, service optimization method, and non-transitory computer-readable storage medium",Tomoyuki Kaga,US,2023-06-01,"
     The service optimization system performs simulation using a human model modeling service utilization behavior of a customer to predict a demand for a service from real data including at least one of behavior, behavior history, and behavior schedule of the customer related to the service. Also, the service optimization system performs simulation using a service model modeling a relationship between a service parameter determining content of the service, a demand for the service, and a level",G; G06Q50/10; G06Q30/0202; G06Q; G06Q30/0201; G06Q30/00; G06; G06Q50/00; G06Q30/02,https://patents.google.com/patent/US20240037581A1/en
US11854046B2,Systems and methods for presenting augmented reality promotion indicators,Deepak Mandya Chandranath,US,2021-02-16,"
     In some embodiments, apparatuses and methods are provided herein useful to presenting promotion indicators. In some embodiments, a system for presenting promotion indicators comprises a database configured to store user data, a control circuit configured to receive a user identifier, determine an identity of the user, receive a location indicator, determine a location of the mobile device, select a promotion, transmit a promotion indicator associated with the promotion and an application c",G; G06F; G06Q30/0268; G06F3/00; G06Q; G06F3/01; G06Q30/00; G06; G06Q30/0241; G06F3/048; G06Q30/0251; G06Q30/02; G06F3/0484,https://patents.google.com/patent/US11854046B2/en
US20230401615A1,Optimization system and optimization method,Kenichiro Yamada,US,2021-09-02,"
     An optimization system includes: a customer touring acquisition unit that is configured to be able to acquire touring of stores by a customer; a store attribute information acquisition unit that is configured to be able to acquire one or more items of store attribute information for classifying features of the stores; a model training unit that creates a correlation model for the touring by the customer and the store attribute information by using the touring of the stores by the customer ",G; G06Q10/00; G06Q; G06Q10/04; G06N; G06Q30/06; G06Q30/00; G06; G06N20/00,https://patents.google.com/patent/US20230401615A1/en
US20240095740A1,Multi-factor authentication using location data,Allison Fenichel,US,2022-09-15,"
     In some implementations, a device may obtain first location data associated with one or more exchanges, where the first location data is associated with a first level of granularity. The device may determine second location data associated with the one or more exchanges based on records associated with the one or more exchanges, where the second location data is associated with a second level of granularity that is higher than the first level of granularity. The device may detect an authen",G; G06F; G06Q; G06Q20/401; G06F21/31; G06Q20/40; G06Q20/38; G06F21/30; G06; G06Q20/4015; G06Q20/00; G06F21/00,https://patents.google.com/patent/US20240095740A1/en
US11803868B2,System and method for segmenting customers with mixed attribute types using a targeted clustering approach,Mohammad H. HAJIAN,US,2021-05-04,"
     Systems, methods, and other embodiments are disclosed that are configured to segment customers using mixed attribute types. In one embodiment, a computerized data structure is read. The computerized data structure has numerical demographic attribute data, categorical demographic attribute data, and target attribute data that is associated with customers and is stored in a computerized memory. The numerical demographic attribute data and the categorical demographic attribute data are conver",G; G06Q10/00; G06Q; G06Q30/0201; G06Q10/06; B25; G06Q30/0204; G06Q30/00; G06; B; G06Q30/02; B25J,https://patents.google.com/patent/US11803868B2/en
