id,title,assignee,country,date,abstract,cpc_codes,url
US11803791B2,System and method linking building information modeling and enterprise resource planning,Matthew Thomas Harris,US,2021-11-10,"
     An electronic construction collaboration system for managing a construction project is provided. The electronic construction collaboration system includes an Enterprise Resource Planning (ERP) sub-system including a contract engine configured to generate at least one project contract including a contract data set and ERP metadata corresponding to Building Information Modeling (BIM) metadata included in a structural object of a construction project model in a BIM sub-system and an interconn",G; G06Q10/00; G06F; G06F16/00; G06Q10/063; G06Q; G06Q10/0631; G06Q10/06; G06F16/211; G06; G06F16/20; G06F16/21; G06Q10/06313,https://patents.google.com/patent/US11803791B2/en
US20240078537A1,Methods and systems for usage-conditioned access control based on a blockchain wallet,Nicole SANDFORD,US,2022-09-06,"
     A method and system for identifying and notifying prospective users. The system may be an online multi-user platform that determines a set of users based on user data for the multi-user platform. The system may have wallet data associated with at least some of the users in the set of users. The system may then identify at least one token attribute correlated to the set of users and identify a plurality of blockchain wallet addresses associated with wallets each holding one or more tokens m",G; G06Q; G06Q20/36; G06Q30/0201; G06Q30/00; G06; G06Q20/367; G06Q20/30; G06Q20/00; G06Q30/02; G06Q20/3674,https://patents.google.com/patent/US20240078537A1/en
US20240054497A1,Identity validation in a secure electronic transaction processing system,Daren Lee PICKERING,US,2023-10-13,"
     Tamper-proofing and secure identity validation techniques in a transaction processing system and secure electronic payment techniques are disclosed. A tamper-proof transaction processing device is provided and comprises at least two different strength adhesives to secure parts of the device together and a housing comprising at least a first and second protective layer. An electronic component comprising a secure element chip storing unique information relating to the chip is located betwee",G; G06Q; G06Q20/405; G06Q20/40; G06Q20/38; G06Q20/08; G06; G06Q20/00; G06Q20/20,https://patents.google.com/patent/US20240054497A1/en
US11816663B2,Currency management system and electronic signature device,Keita TAKAMATSU,US,2020-12-01,"
     A currency management system excels in security, and includes legal tender as a management target. A transaction information management device (TIMD) receives first transaction (Tr) information from a user terminal, and an account information management device receives second Tr information from the TIMD. The (TIMD) receives third Tr information from the account information management device, and a currency information management device receives fourth Tr information from the TIMD. The TIM",G; G06Q20/06; G06Q; G06Q20/38; G06; G06Q20/04; G06Q20/381; G06Q20/00,https://patents.google.com/patent/US11816663B2/en
US20240046230A1,"Systems and methods for hyperledger-based payment transactions, alerts, and dispute settlement, using smart contracts",Ramesh Vijayaraghavan,US,2023-06-26,"
     Decentralized computer systems and methods are disclosed for hyperledger-based payment transactions, alerts, and dispute settlement, using smart contracts. One method includes: receiving transaction information comprising transaction data of transaction attributes for a transaction for a good or service originating at a merchant; storing the transaction data of the transaction attributes for the transaction, in a Smart Contract generated or updated by a Smart Contract application; deployin",G; G06Q10/00; G06F; G06Q10/101; G06Q; G06Q10/10; G06Q20/08; G06; G06Q20/10; G06Q20/00,https://patents.google.com/patent/US20240046230A1/en
US20240070649A1,Mobile wallet management of digital tokens,Madhusudhan Vudali,US,2022-11-30,"
     Embodiments provided a distributed computer system and a method of managing one or more non-fungible tokens (NFTs) using a mobile wallet system that is hosted using a mobile computing device. Various embodiments support using a Mobile Wallet Pass to represent a digital token and its utility outside of Web3 and/or Blockchain systems, software, or context; digitally linking an anonymous, unique digital token to an anonymous, unique Mobile Wallet Pass; de-linking and expiring the Mobile Walle",G; G06Q; G06Q20/045; G06Q20/36; G06Q20/0457; G06Q20/00; G06; G06Q20/04; G06Q20/30,https://patents.google.com/patent/US20240070649A1/en
US11854009B2,Method for pooling in a proof-of-space-based blockchain via singletons,Bram Cohen,US,2022-10-04,"
     A method for pooling and retrieving block rewards in a reward pool including an operator node and a set of member nodes in a distributed network extending a proof-of-space-based blockchain includes: submitting a transaction configured to generate a singleton in a set of singletons, the singleton including: an outer puzzle hash linking the singleton to a singleton puzzle hash; and an inner puzzle hash defining a pool address associated with the reward pool; generating a block including a pr",G; H04; H04L9/3236; H04L9/3239; H04L9/32; H; G06Q; H04L; G06Q20/00; G06Q20/02; G06; H04L9/00,https://patents.google.com/patent/US11854009B2/en
US20240029010A1,System And Method for Assisted Pick-Up and Delivery of Traveler Goods,Oscar Ernesto Munoz,US,2022-07-19,"
     A system and method for assisted pick-up and delivery of goods, the method including downloading an enterprise application to a computer device; registering at an enterprise platform with the enterprise application; requesting a service pick-up and drop-off with said enterprise platform; scheduling an assisted pick-up of the luggage or package; confirming the pick-up of the luggage or package at the pick-up point assigned by said enterprise platform; scheduling an assisted delivery of the ",G; G06Q10/00; G06Q10/083; G06Q; G06Q10/0835; G06; G06Q10/08; G06Q10/02,https://patents.google.com/patent/US20240029010A1/en
US20240046207A1,Mobile storefront control systems and methods,John Green,US,2023-10-23,"
     The present application provides systems and methods for a mobile storefront having direct customer access to inventory and pricing from a mobile storefront. In particular, systems and methods provide an application usable by customers to purchase goods or services from a mobile storefront through an electronic communication device. This includes reserving and purchasing products in inventory of the mobile storefront or pooled inventory from multiple mobile storefronts in an area, reservin",G; G06Q10/00; G06Q; G06Q10/087; G06Q20/12; G06Q20/08; G06; G06Q10/08; G06Q20/00,https://patents.google.com/patent/US20240046207A1/en
US11797963B2,Determination of a payment method used in an NFC transaction,Michelle Fisher,US,2020-10-29,"
     A method and system for receiving digital artifacts from a management server. The method includes sending a request for a digital artifact from a mobile application to the management server for display within a specific mobile application generated screen, receiving the digital artifact from the management server, and displaying the digital artifact with the specific mobile application generated screen. 
   
   ",G; G06Q10/00; G06Q; G06Q10/10; G06Q20/08; G06; G06Q20/00; G06Q20/20,https://patents.google.com/patent/US11797963B2/en
